University Label,University ID,Neighbor Label,Neighbor ID,closeness_centrality
Beihang University,18,White Rose University Consortium,1170,0.5507199307134351
Beihang University,18,University System of Ohio,908,0.5504219865829907
Beihang University,18,University of Sydney,71,0.5493520518358531
Northwestern Polytechnical University,29,Beijing Institute of Technology,2,0.6897627118644067
Northwestern Polytechnical University,29,Beihang University,18,0.6839204087120193
Northwestern Polytechnical University,29,Chinese Academy of Sciences,12,0.6519287453543509
Northwestern Polytechnical University,29,Nanjing University of Science & Technology,42,0.6294234100470181
Northwestern Polytechnical University,29,Nanjing University of Aeronautics & Astronautics,233,0.6281797974808595
Northwestern Polytechnical University,29,Harbin Institute of Technology,98,0.5971358140626835
Northwestern Polytechnical University,29,Harbin Engineering University,211,0.5878885935513695
Northwestern Polytechnical University,29,Tsinghua University,24,0.5874133949191686
Northwestern Polytechnical University,29,Peking University,35,0.5807740609658637
Northwestern Polytechnical University,29,Shanghai Jiao Tong University,122,0.5768881832615106
Northwestern Polytechnical University,29,University of California System,827,0.5759085248499943
Northwestern Polytechnical University,29,Zhejiang University,129,0.574867216634648
Northwestern Polytechnical University,29,Centre National de la Recherche Scientifique (CNRS),454,0.574867216634648
Northwestern Polytechnical University,29,Nanjing University,372,0.571187963170896
Northwestern Polytechnical University,29,N8 Research Partnership,837,0.5704193765418255
Northwestern Polytechnical University,29,Sun Yat Sen University,181,0.5695890717724779
Northwestern Polytechnical University,29,Southeast University - China,410,0.5683798882681564
Northwestern Polytechnical University,29,UDICE-French Research Universities,1415,0.5675555059689836
Northwestern Polytechnical University,29,University of Chinese Academy of Sciences CAS,830,0.566354932086395
Northwestern Polytechnical University,29,University of Science & Technology of China CAS,983,0.5638439370427843
Northwestern Polytechnical University,29,United States Department of Energy (DOE),902,0.5638439370427843
Northwestern Polytechnical University,29,Shandong University,148,0.563344407530454
Northwestern Polytechnical University,29,University of London,824,0.5629080447051013
Northwestern Polytechnical University,29,National University of Singapore,96,0.5616650104891244
Northwestern Polytechnical University,29,Huazhong University of Science & Technology,138,0.5613551092474067
Northwestern Polytechnical University,29,Fudan University,246,0.560921821590032
Northwestern Polytechnical University,29,University of Cambridge,617,0.5608599779492833
Northwestern Polytechnical University,29,City University of Hong Kong,108,0.5595028596568412
Northwestern Polytechnical University,29,Helmholtz Association,967,0.5586426531956952
Northwestern Polytechnical University,29,Wuhan University,265,0.5586426531956952
Northwestern Polytechnical University,29,Swiss Federal Institutes of Technology Domain,871,0.5579074358411933
Northwestern Polytechnical University,29,Dalian University of Technology,72,0.5576016661186013
Northwestern Polytechnical University,29,Beijing Normal University,285,0.5568082311733801
Northwestern Polytechnical University,29,University of Texas System,832,0.5554706267744048
Northwestern Polytechnical University,29,Pennsylvania Commonwealth System of Higher Education (PCSHE),855,0.5554099792553773
Northwestern Polytechnical University,29,State University System of Florida,844,0.5540790763533384
Northwestern Polytechnical University,29,Xiamen University,26,0.5534160139251523
Northwestern Polytechnical University,29,Max Planck Society,118,0.5529347826086957
Northwestern Polytechnical University,29,East China Normal University,582,0.552574407994786
Northwestern Polytechnical University,29,Hunan University,157,0.5520946385934448
Northwestern Polytechnical University,29,Harvard University,580,0.5518550661748752
Northwestern Polytechnical University,29,University System of Georgia,834,0.5513765445480164
Northwestern Polytechnical University,29,University of California Los Angeles,988,0.5513765445480164
Northwestern Polytechnical University,29,University of Illinois System,928,0.5512570437798006
Northwestern Polytechnical University,29,Egyptian Knowledge Bank (EKB),1055,0.5512570437798006
Northwestern Polytechnical University,29,University of New South Wales Sydney,65,0.5510778897194237
Northwestern Polytechnical University,29,University College London,825,0.5507795582503248
Northwestern Polytechnical University,29,White Rose University Consortium,1170,0.5507199307134351
Northwestern Polytechnical University,29,University System of Ohio,908,0.5504219865829907
Northwestern Polytechnical University,29,University of Sydney,71,0.5493520518358531
Nanjing University of Science & Technology,42,Beijing Institute of Technology,2,0.6897627118644067
Nanjing University of Science & Technology,42,Northwestern Polytechnical University,29,0.6859492988133765
Nanjing University of Science & Technology,42,Beihang University,18,0.6839204087120193
Nanjing University of Science & Technology,42,Chinese Academy of Sciences,12,0.6519287453543509
Nanjing University of Science & Technology,42,Nanjing University of Aeronautics & Astronautics,233,0.6281797974808595
Nanjing University of Science & Technology,42,Harbin Institute of Technology,98,0.5971358140626835
Nanjing University of Science & Technology,42,Harbin Engineering University,211,0.5878885935513695
Nanjing University of Science & Technology,42,Tsinghua University,24,0.5874133949191686
Nanjing University of Science & Technology,42,Peking University,35,0.5807740609658637
Nanjing University of Science & Technology,42,Shanghai Jiao Tong University,122,0.5768881832615106
Nanjing University of Science & Technology,42,University of California System,827,0.5759085248499943
Nanjing University of Science & Technology,42,Centre National de la Recherche Scientifique (CNRS),454,0.574867216634648
Nanjing University of Science & Technology,42,Zhejiang University,129,0.574867216634648
Nanjing University of Science & Technology,42,Nanjing University,372,0.571187963170896
Nanjing University of Science & Technology,42,N8 Research Partnership,837,0.5704193765418255
Nanjing University of Science & Technology,42,Sun Yat Sen University,181,0.5695890717724779
Nanjing University of Science & Technology,42,Southeast University - China,410,0.5683798882681564
Nanjing University of Science & Technology,42,UDICE-French Research Universities,1415,0.5675555059689836
Nanjing University of Science & Technology,42,University of Chinese Academy of Sciences CAS,830,0.566354932086395
Nanjing University of Science & Technology,42,United States Department of Energy (DOE),902,0.5638439370427843
Nanjing University of Science & Technology,42,University of Science & Technology of China CAS,983,0.5638439370427843
Nanjing University of Science & Technology,42,Shandong University,148,0.563344407530454
Nanjing University of Science & Technology,42,University of London,824,0.5629080447051013
Nanjing University of Science & Technology,42,National University of Singapore,96,0.5616650104891244
