University Label,University ID,Neighbor Label,Neighbor ID,degree_centrality
Beihang University,18,White Rose University Consortium,1170,0.1841950068802831
Beihang University,18,University System of Ohio,908,0.18321210929821113
Beihang University,18,University of Sydney,71,0.17967367800275214
Northwestern Polytechnical University,29,Beijing Institute of Technology,2,0.5502260664438766
Northwestern Polytechnical University,29,Beihang University,18,0.5378415569097701
Northwestern Polytechnical University,29,Chinese Academy of Sciences,12,0.46609003341851785
Northwestern Polytechnical University,29,Nanjing University of Science & Technology,42,0.4112443483389031
Northwestern Polytechnical University,29,Nanjing University of Aeronautics & Astronautics,233,0.4080990760762729
Northwestern Polytechnical University,29,Harbin Institute of Technology,98,0.32533909966581487
Northwestern Polytechnical University,29,Harbin Engineering University,211,0.2989974444662866
Northwestern Polytechnical University,29,Tsinghua University,24,0.2976213878513859
Northwestern Polytechnical University,29,Peking University,35,0.27816001572636134
Northwestern Polytechnical University,29,Shanghai Jiao Tong University,122,0.26656182425791236
Northwestern Polytechnical University,29,University of California System,827,0.2636131315116965
Northwestern Polytechnical University,29,Zhejiang University,129,0.2604678592490663
Northwestern Polytechnical University,29,Centre National de la Recherche Scientifique (CNRS),454,0.2604678592490663
Northwestern Polytechnical University,29,Nanjing University,372,0.24926282681344605
Northwestern Polytechnical University,29,N8 Research Partnership,837,0.24690387261647337
Northwestern Polytechnical University,29,Sun Yat Sen University,181,0.24434833890308633
Northwestern Polytechnical University,29,Southeast University - China,410,0.2406133280912129
Northwestern Polytechnical University,29,UDICE-French Research Universities,1415,0.23805779437782584
Northwestern Polytechnical University,29,University of Chinese Academy of Sciences CAS,830,0.23432278356595243
Northwestern Polytechnical University,29,University of Science & Technology of China CAS,983,0.22645960290937686
Northwestern Polytechnical University,29,United States Department of Energy (DOE),902,0.22645960290937686
Northwestern Polytechnical University,29,Shandong University,148,0.22488696677806175
Northwestern Polytechnical University,29,University of London,824,0.22351091016316102
Northwestern Polytechnical University,29,National University of Singapore,96,0.21957931983487322
Northwestern Polytechnical University,29,Huazhong University of Science & Technology,138,0.21859642225280126
Northwestern Polytechnical University,29,Fudan University,246,0.21722036563790054
Northwestern Polytechnical University,29,University of Cambridge,617,0.21702378612148615
Northwestern Polytechnical University,29,City University of Hong Kong,108,0.21269903676036958
Northwestern Polytechnical University,29,Helmholtz Association,967,0.20994692353056812
Northwestern Polytechnical University,29,Wuhan University,265,0.20994692353056812
Northwestern Polytechnical University,29,Swiss Federal Institutes of Technology Domain,871,0.20758796933359544
Northwestern Polytechnical University,29,Dalian University of Technology,72,0.2066050717515235
Northwestern Polytechnical University,29,Beijing Normal University,285,0.20404953803813644
Northwestern Polytechnical University,29,University of Texas System,832,0.19972478867701987
Northwestern Polytechnical University,29,Pennsylvania Commonwealth System of Higher Education (PCSHE),855,0.19952820916060549
Northwestern Polytechnical University,29,State University System of Florida,844,0.19520345979948892
Northwestern Polytechnical University,29,Xiamen University,26,0.19304108511893062
Northwestern Polytechnical University,29,Max Planck Society,118,0.1914684489876155
Northwestern Polytechnical University,29,East China Normal University,582,0.19028897188912916
Northwestern Polytechnical University,29,Hunan University,157,0.18871633575781405
Northwestern Polytechnical University,29,Harvard University,580,0.1879300176921565
Northwestern Polytechnical University,29,University System of Georgia,834,0.18635738156084136
Northwestern Polytechnical University,29,University of California Los Angeles,988,0.18635738156084136
Northwestern Polytechnical University,29,University of Illinois System,928,0.1859642225280126
Northwestern Polytechnical University,29,Egyptian Knowledge Bank (EKB),1055,0.1859642225280126
Northwestern Polytechnical University,29,University of New South Wales Sydney,65,0.18537448397876943
Northwestern Polytechnical University,29,University College London,825,0.18439158639669748
Northwestern Polytechnical University,29,White Rose University Consortium,1170,0.1841950068802831
Northwestern Polytechnical University,29,University System of Ohio,908,0.18321210929821113
Northwestern Polytechnical University,29,University of Sydney,71,0.17967367800275214
